"jahr";"gemnr";"yearmean_pop"
2006;"70219";2439,625
2006;"70220";3334,375
2006;"70221";1299,875
2006;"70222";2573
2006;"70223";2949,5
2006;"70224";2032,375
2006;"70301";6505,125
2006;"70302";2000
2006;"70303";1472
2006;"70304";5338,25
2006;"70305";1094,75
2006;"70306";1237,5
2006;"70307";1082
2006;"70308";1147,375
2006;"70309";2007,5
2006;"70310";4037,625
2006;"70311";674,5
2006;"70312";3732,25
2006;"70313";1212,125
2006;"70314";582,25
2006;"70315";1303,25
2006;"70317";430,75
2006;"70318";1138,5
2006;"70319";3310
2006;"70320";2539,75
2006;"70322";1443,375
2006;"70323";744
2006;"70325";894,25
2006;"70326";2060,125
2006;"70328";1693
2006;"70329";3941,25
2006;"70331";1974
2006;"70332";1888,625
2006;"70333";1937,625
2006;"70334";4459,375
2006;"70335";1620,875
2006;"70336";357,125
2006;"70337";2798,625
2006;"70338";918,625
2006;"70339";940,125
2006;"70340";1056
2006;"70342";896,625
2006;"70343";875
2006;"70344";1172,125
2006;"70345";1482
2006;"70346";8657,625
2006;"70347";188,125
2006;"70348";1311
2006;"70349";902,875
2006;"70350";1014,375
2006;"70351";2991,625
2006;"70352";1347
2006;"70353";1898,125
2006;"70354";12392
2006;"70355";3312,625
2006;"70356";1402,25
2006;"70357";14353
2006;"70358";3680,5
2006;"70359";1258,5
2006;"70360";1418,75
2006;"70361";203,25
2006;"70362";556,375
2006;"70364";6556
2006;"70365";4266
2006;"70366";702,875
2006;"70367";7614,625
2006;"70368";806,25
2006;"70369";7122,75
2006;"70401";1185,5
2006;"70402";2594,75
2006;"70403";4290,5
2006;"70404";1783,375
2006;"70405";1136,125
2006;"70406";5392,125
2006;"70407";1122,25
2006;"70408";1544,5
2006;"70409";5154,5
2006;"70410";3627,75
2006;"70411";8446,125
2006;"70412";4201,625
2006;"70413";2016,5
2006;"70414";1669,5
2006;"70415";657,25
2006;"70416";8471,375
2006;"70417";1503,125
2006;"70418";764,125
2006;"70419";1850,625
2006;"70420";3495,75
2006;"70501";2547,75
2006;"70502";940,125
2006;"70503";2364,5
2006;"70504";1532
2006;"70505";3212,5
2006;"70506";2801,375
2006;"70508";5049
2006;"70509";2626,125
2006;"70510";1430,375
2006;"70511";5233,625
