"jahr","gemnr","gemname","geschl","alter","n","typ"
2025,"70212","Nassereith ","weiblich","10 bis 14 Jahre",46,"Ländlicher Raum"
2025,"70212","Nassereith ","weiblich","15 bis 19 Jahre",54,"Ländlicher Raum"
2025,"70212","Nassereith ","weiblich","20 bis 24 Jahre",48,"Ländlicher Raum"
2025,"70212","Nassereith ","weiblich","25 bis 29 Jahre",55,"Ländlicher Raum"
2025,"70212","Nassereith ","weiblich","30 bis 34 Jahre",80,"Ländlicher Raum"
2025,"70212","Nassereith ","weiblich","35 bis 39 Jahre",74,"Ländlicher Raum"
2025,"70212","Nassereith ","weiblich","40 bis 44 Jahre",76,"Ländlicher Raum"
2025,"70213","Obsteig ","männlich","bis 4 Jahre",38,"Ländlicher Raum"
2025,"70213","Obsteig ","männlich","5 bis 9 Jahre",48,"Ländlicher Raum"
2025,"70213","Obsteig ","männlich","10 bis 14 Jahre",37,"Ländlicher Raum"
2025,"70213","Obsteig ","männlich","15 bis 19 Jahre",34,"Ländlicher Raum"
2025,"70213","Obsteig ","männlich","20 bis 24 Jahre",42,"Ländlicher Raum"
2025,"70213","Obsteig ","männlich","25 bis 29 Jahre",37,"Ländlicher Raum"
2025,"70213","Obsteig ","männlich","30 bis 34 Jahre",39,"Ländlicher Raum"
2025,"70213","Obsteig ","männlich","35 bis 39 Jahre",43,"Ländlicher Raum"
2025,"70213","Obsteig ","männlich","40 bis 44 Jahre",52,"Ländlicher Raum"
2025,"70213","Obsteig ","weiblich","bis 4 Jahre",30,"Ländlicher Raum"
2025,"70213","Obsteig ","weiblich","5 bis 9 Jahre",49,"Ländlicher Raum"
2025,"70213","Obsteig ","weiblich","10 bis 14 Jahre",32,"Ländlicher Raum"
2025,"70213","Obsteig ","weiblich","15 bis 19 Jahre",32,"Ländlicher Raum"
2025,"70213","Obsteig ","weiblich","20 bis 24 Jahre",48,"Ländlicher Raum"
2025,"70213","Obsteig ","weiblich","25 bis 29 Jahre",36,"Ländlicher Raum"
2025,"70213","Obsteig ","weiblich","30 bis 34 Jahre",37,"Ländlicher Raum"
2025,"70213","Obsteig ","weiblich","35 bis 39 Jahre",47,"Ländlicher Raum"
2025,"70213","Obsteig ","weiblich","40 bis 44 Jahre",54,"Ländlicher Raum"
2025,"70214","Oetz ","männlich","bis 4 Jahre",58,"Ländlicher Raum"
2025,"70214","Oetz ","männlich","5 bis 9 Jahre",52,"Ländlicher Raum"
2025,"70214","Oetz ","männlich","10 bis 14 Jahre",66,"Ländlicher Raum"
2025,"70214","Oetz ","männlich","15 bis 19 Jahre",53,"Ländlicher Raum"
2025,"70214","Oetz ","männlich","20 bis 24 Jahre",62,"Ländlicher Raum"
2025,"70214","Oetz ","männlich","25 bis 29 Jahre",61,"Ländlicher Raum"
2025,"70214","Oetz ","männlich","30 bis 34 Jahre",85,"Ländlicher Raum"
2025,"70214","Oetz ","männlich","35 bis 39 Jahre",78,"Ländlicher Raum"
2025,"70214","Oetz ","männlich","40 bis 44 Jahre",90,"Ländlicher Raum"
2025,"70214","Oetz ","weiblich","bis 4 Jahre",51,"Ländlicher Raum"
2025,"70214","Oetz ","weiblich","5 bis 9 Jahre",59,"Ländlicher Raum"
2025,"70214","Oetz ","weiblich","10 bis 14 Jahre",57,"Ländlicher Raum"
2025,"70214","Oetz ","weiblich","15 bis 19 Jahre",53,"Ländlicher Raum"
2025,"70214","Oetz ","weiblich","20 bis 24 Jahre",73,"Ländlicher Raum"
2025,"70214","Oetz ","weiblich","25 bis 29 Jahre",74,"Ländlicher Raum"
2025,"70214","Oetz ","weiblich","30 bis 34 Jahre",74,"Ländlicher Raum"
2025,"70214","Oetz ","weiblich","35 bis 39 Jahre",79,"Ländlicher Raum"
2025,"70214","Oetz ","weiblich","40 bis 44 Jahre",70,"Ländlicher Raum"
2025,"70215","Rietz ","männlich","bis 4 Jahre",66,"Ländlicher Raum"
2025,"70215","Rietz ","männlich","5 bis 9 Jahre",70,"Ländlicher Raum"
2025,"70215","Rietz ","männlich","10 bis 14 Jahre",70,"Ländlicher Raum"
2025,"70215","Rietz ","männlich","15 bis 19 Jahre",51,"Ländlicher Raum"
2025,"70215","Rietz ","männlich","20 bis 24 Jahre",60,"Ländlicher Raum"
2025,"70215","Rietz ","männlich","25 bis 29 Jahre",66,"Ländlicher Raum"
2025,"70215","Rietz ","männlich","30 bis 34 Jahre",77,"Ländlicher Raum"
2025,"70215","Rietz ","männlich","35 bis 39 Jahre",97,"Ländlicher Raum"
2025,"70215","Rietz ","männlich","40 bis 44 Jahre",97,"Ländlicher Raum"
2025,"70215","Rietz ","weiblich","bis 4 Jahre",68,"Ländlicher Raum"
2025,"70215","Rietz ","weiblich","5 bis 9 Jahre",80,"Ländlicher Raum"
2025,"70215","Rietz ","weiblich","10 bis 14 Jahre",67,"Ländlicher Raum"
2025,"70215","Rietz ","weiblich","15 bis 19 Jahre",76,"Ländlicher Raum"
2025,"70215","Rietz ","weiblich","20 bis 24 Jahre",50,"Ländlicher Raum"
2025,"70215","Rietz ","weiblich","25 bis 29 Jahre",67,"Ländlicher Raum"
2025,"70215","Rietz ","weiblich","30 bis 34 Jahre",97,"Ländlicher Raum"
2025,"70215","Rietz ","weiblich","35 bis 39 Jahre",93,"Ländlicher Raum"
2025,"70215","Rietz ","weiblich","40 bis 44 Jahre",91,"Ländlicher Raum"
2025,"70216","Roppen ","männlich","bis 4 Jahre",61,"Ländlicher Raum"
2025,"70216","Roppen ","männlich","5 bis 9 Jahre",63,"Ländlicher Raum"
2025,"70216","Roppen ","männlich","10 bis 14 Jahre",50,"Ländlicher Raum"
2025,"70216","Roppen ","männlich","15 bis 19 Jahre",53,"Ländlicher Raum"
2025,"70216","Roppen ","männlich","20 bis 24 Jahre",54,"Ländlicher Raum"
2025,"70216","Roppen ","männlich","25 bis 29 Jahre",58,"Ländlicher Raum"
2025,"70216","Roppen ","männlich","30 bis 34 Jahre",75,"Ländlicher Raum"
2025,"70216","Roppen ","männlich","35 bis 39 Jahre",79,"Ländlicher Raum"
2025,"70216","Roppen ","männlich","40 bis 44 Jahre",73,"Ländlicher Raum"
2025,"70216","Roppen ","weiblich","bis 4 Jahre",52,"Ländlicher Raum"
2025,"70216","Roppen ","weiblich","5 bis 9 Jahre",62,"Ländlicher Raum"
2025,"70216","Roppen ","weiblich","10 bis 14 Jahre",45,"Ländlicher Raum"
2025,"70216","Roppen ","weiblich","15 bis 19 Jahre",45,"Ländlicher Raum"
2025,"70216","Roppen ","weiblich","20 bis 24 Jahre",54,"Ländlicher Raum"
2025,"70216","Roppen ","weiblich","25 bis 29 Jahre",48,"Ländlicher Raum"
2025,"70216","Roppen ","weiblich","30 bis 34 Jahre",87,"Ländlicher Raum"
2025,"70216","Roppen ","weiblich","35 bis 39 Jahre",71,"Ländlicher Raum"
2025,"70216","Roppen ","weiblich","40 bis 44 Jahre",66,"Ländlicher Raum"
2025,"70217","St. Leonhard im Pitztal ","männlich","bis 4 Jahre",32,"Ländlicher Raum"
